Time (s),Color,ROI Coordinates (x,y,w,h)
21.40,Red,(200, 55, 120, 320)
21.43,Red,(200, 55, 120, 320)
21.47,Red,(200, 55, 120, 320)
21.50,Red,(200, 55, 120, 320)
21.53,Red,(200, 55, 120, 320)
21.57,Red,(200, 55, 120, 320)
21.60,Red,(200, 55, 120, 320)
21.63,Red,(200, 55, 120, 320)
21.67,Red,(200, 55, 120, 320)
21.70,Red,(200, 55, 120, 320)
21.73,Red,(200, 55, 120, 320)
21.77,Red,(200, 55, 120, 320)
21.80,Red,(200, 55, 120, 320)
21.83,Red,(200, 55, 120, 320)
21.87,Red,(200, 55, 120, 320)
21.90,Red,(200, 55, 120, 320)
22.03,Red,(200, 55, 120, 320)
22.07,Red,(200, 55, 120, 320)
22.10,Red,(200, 55, 120, 320)
22.13,Red,(200, 55, 120, 320)
22.17,Red,(200, 55, 120, 320)
22.20,Red,(200, 55, 120, 320)
22.23,Red,(200, 55, 120, 320)
22.27,Red,(200, 55, 120, 320)
22.30,Red,(200, 55, 120, 320)
22.33,Red,(200, 55, 120, 320)
22.37,Red,(200, 55, 120, 320)
22.40,Red,(200, 55, 120, 320)
22.43,Red,(200, 55, 120, 320)
22.47,Red,(200, 55, 120, 320)
22.50,Red,(200, 55, 120, 320)
22.53,Red,(200, 55, 120, 320)
22.57,Red,(200, 55, 120, 320)
22.60,Red,(200, 55, 120, 320)
22.63,Red,(200, 55, 120, 320)
22.67,Red,(200, 55, 120, 320)
22.70,Red,(200, 55, 120, 320)
22.73,Red,(200, 55, 120, 320)
22.77,Red,(200, 55, 120, 320)
22.80,Red,(200, 55, 120, 320)
22.83,Red,(200, 55, 120, 320)
22.87,Red,(200, 55, 120, 320)
22.90,Red,(200, 55, 120, 320)
22.93,Red,(200, 55, 120, 320)
22.97,Red,(200, 55, 120, 320)
23.00,Red,(200, 55, 120, 320)
23.03,Red,(200, 55, 120, 320)
23.07,Red,(200, 55, 120, 320)
23.10,Red,(200, 55, 120, 320)
23.13,Red,(200, 55, 120, 320)
23.17,Red,(200, 55, 120, 320)
23.20,Red,(200, 55, 120, 320)
23.23,Red,(200, 55, 120, 320)
23.27,Red,(200, 55, 120, 320)
23.30,Red,(200, 55, 120, 320)
